SORGO GRANIFERO          ;EM GRÃOS            ;4745;SILVÂNIA-GO                                       ;5220603                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,73
SORGO GRANIFERO          ;EM GRÃOS            ;4745;FRUTAL-MG                                         ;3127107                       ;MG        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,79
SORGO GRANIFERO          ;EM GRÃOS            ;4745;PARACATU-MG                                       ;3147006                       ;MG        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,81
SORGO GRANIFERO          ;EM GRÃOS            ;4745;UBERABA-MG                                        ;3170107                       ;MG        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,8
SORGO GRANIFERO          ;EM GRÃOS            ;4745;UNAÍ-MG                                           ;3170404                       ;MG        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,78
SORGO GRANIFERO          ;EM GRÃOS            ;4745;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,68
SORGO GRANIFERO          ;EM GRÃOS            ;4745;SÃO GABRIEL DO OESTE-MS                           ;5007695                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,68
SORGO GRANIFERO          ;EM GRÃOS            ;4745;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,67
SORGO GRANIFERO          ;EM GRÃOS            ;4745;LUCAS DO RIO VERDE-MT                             ;5105259                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,67
SORGO GRANIFERO          ;EM GRÃOS            ;4745;RONDONÓPOLIS-MT                                   ;5107602                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,7
SORGO GRANIFERO          ;EM GRÃOS            ;4745;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,67
SORGO GRANIFERO          ;EM GRÃOS            ;4745;BOM JESUS-PI                                      ;2201903                       ;PI        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,84
SORGO GRANIFERO          ;EM GRÃOS            ;4745;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,87
SORGO GRANIFERO          ;EM GRÃOS            ;4745;BAGÉ-RS                                           ;4301602                       ;RS        ;SUL            ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,81
SORGO GRANIFERO          ;EM GRÃOS            ;4745;GUAÍRA-SP                                         ;3517406                       ;SP        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,81
SORGO GRANIFERO          ;EM GRÃOS            ;4745;MIGUELÓPOLIS-SP                                   ;3529708                       ;SP        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,81
SORGO GRANIFERO          ;EM GRÃOS            ;4745;PEDRO AFONSO-TO                                   ;1716505                       ;TO        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,53
SORGO GRANIFERO          ;EM GRÃOS            ;4745;PORTO NACIONAL-TO                                 ;1718204                       ;TO        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,53
SORGO GRANIFERO          ;EM GRÃOS            ;4745;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,75
SORGO GRANIFERO          ;EM GRÃOS            ;4745;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,78
SORGO GRANIFERO          ;EM GRÃOS            ;4745;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;12;ATACADO                                                     ;1,16
SORGO GRANIFERO          ;EM GRÃOS            ;4745;BOM JESUS DE GOIÁS-GO                             ;5203500                       ;GO        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,75
SORGO GRANIFERO          ;EM GRÃOS            ;4745;CHAPADÃO DO CÉU-GO                                ;5205471                       ;GO        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,76
SORGO GRANIFERO          ;EM GRÃOS            ;4745;ITABERAÍ-GO                                       ;5210406                       ;GO        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,81
SORGO GRANIFERO          ;EM GRÃOS            ;4745;PARAÚNA-GO                                        ;5216403                       ;GO        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,78
SORGO GRANIFERO          ;EM GRÃOS            ;4745;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,78
SORGO GRANIFERO          ;EM GRÃOS            ;4745;SILVÂNIA-GO                                       ;5220603                       ;GO        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,78
SORGO GRANIFERO          ;EM GRÃOS            ;4745;FRUTAL-MG                                         ;3127107                       ;MG        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,83
SORGO GRANIFERO          ;EM GRÃOS            ;4745;PARACATU-MG                                       ;3147006                       ;MG        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,83
SORGO GRANIFERO          ;EM GRÃOS            ;4745;UBERABA-MG                                        ;3170107                       ;MG        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,8
SORGO GRANIFERO          ;EM GRÃOS            ;4745;UNAÍ-MG                                           ;3170404                       ;MG        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,84
SORGO GRANIFERO          ;EM GRÃOS            ;4745;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,68
SORGO GRANIFERO          ;EM GRÃOS            ;4745;SÃO GABRIEL DO OESTE-MS                           ;5007695                       ;MS        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,68
SORGO GRANIFERO          ;EM GRÃOS            ;4745;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,68
SORGO GRANIFERO          ;EM GRÃOS            ;4745;LUCAS DO RIO VERDE-MT                             ;5105259                       ;MT        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,7
SORGO GRANIFERO          ;EM GRÃOS            ;4745;RONDONÓPOLIS-MT                                   ;5107602                       ;MT        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,73
SORGO GRANIFERO          ;EM GRÃOS            ;4745;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,7
SORGO GRANIFERO          ;EM GRÃOS            ;4745;BOM JESUS-PI                                      ;2201903                       ;PI        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,89
SORGO GRANIFERO          ;EM GRÃOS            ;4745;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,91
SORGO GRANIFERO          ;EM GRÃOS            ;4745;BAGÉ-RS                                           ;4301602                       ;RS        ;SUL            ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,81
SORGO GRANIFERO          ;EM GRÃOS            ;4745;GUAÍRA-SP                                         ;3517406                       ;SP        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,85
SORGO GRANIFERO          ;EM GRÃOS            ;4745;MIGUELÓPOLIS-SP                                   ;3529708                       ;SP        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,85
SORGO GRANIFERO          ;EM GRÃOS            ;4745;PEDRO AFONSO-TO                                   ;1716505                       ;TO        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,51
SORGO GRANIFERO          ;EM GRÃOS            ;4745;PORTO NACIONAL-TO                                 ;1718204                       ;TO        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,51
SORGO GRANIFERO          ;EM GRÃOS            ;4745;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2026;1;ATACADO                                                     ;1,19
SORGO GRANIFERO          ;EM GRÃOS            ;4745;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2026;2;ATACADO                                                     ;1,15
SORGO GRANIFERO          ;EM GRÃOS            ;4745;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2026;3;ATACADO                                                     ;1,14
SORGO GRANIFERO          ;EM GRÃOS            ;4745;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2026;4;ATACADO                                                     ;1,17
SORGO GRANIFERO          ;EM GRÃOS            ;4745;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2026;5;ATACADO                                                     ;1,13
SPERTO                   ;250 G/KG ACETAMIPRID;12051;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;150,0
SPERTO                   ;250 G/KG ACETAMIPRID;12051;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;245,0
SPERTO                   ;250 G/KG            ;13986;DOURADOS-MS                                       ;5003702                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;159,0
SPERTO                   ;250 G/KG ACETAMIPRID;12051;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;160,0
SPERTO                   ;250 G/KG ACETAMIPRID;12051;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;132,71
